date, suspect_cases, suspect_death, confirmed_cases, confirmed_death, percent_traced, doubling_s, doubling_c
2026-04-24, 1, 1, , , , ,
2026-05-15, 246, 80, , , ,,
2026-05-16, 336, 88, 13 , , ,,
2026-05-17, 390, 92, , , , ,
2026-05-18, 492, 113, , ,,3,
2026-05-19, 536, 134, 33 , ,3.5,
2026-05-20, 598, 138, 51 , , , 4.5,
2026-05-21, 660, 160, , ,,5.1,
2026-05-22, 745, 177, , ,,5.5,
2026-05-23, 867, 205, 91 , ,,5.5,3.5
2026-05-24, 906, 223, 105 , ,,6.5,4
2026-05-25, 998, 238, 106 , ,,6.5,5
2026-05-26, 1077, 246, 121, ,,7,
2026-05-27, 906, 223, 125, ,,,
2026-05-28, 349, , 210, 17, ,,4.5
2026-05-29, 349, , 263, 42, ,,2.2
2026-05-30, 220, , 282, 42, .452 ,, 2.8
2026-05-31, 238, , 321, 48, .43 ,,3.5
2026-06-01, 116, , 334, 60, .439 ,, 4.5
2026-06-02, , , 363, 62, .455 ,, 5.5
2026-06-03, , , 381, 64, .555 ,, 6.5
2026-06-04, , , 452, 82, .578 ,,6.5
2026-06-05, , , 488, 86, .672 ,,7.5
2026-06-06, , , 515, 91, .503 ,,8
2026-06-07, , , 550, 101, .644 ,,9
2026-06-08, , , 598, 115, .563 ,,9.5
2026-06-09, , , 635, 127, .611 ,,9.5
2026-06-10, , , 676, 136, .718 ,,9
2026-06-11, , , 689, 139, .284 ,,9.5
2026-06-13, , , 782, 181, .565 ,,8.8
2026-06-14, , , 808, 192, .631 ,,9.5
2026-06-15, , , 837, 196, .644 ,,10.2
2026-06-16, , , 875, 202, .716 ,,11.2
2026-06-17, , , 896, 232, .711 ,,11.9
2026-06-18, , , 933, 245, .723 ,,12.5
2026-06-19, , , 956, 247, .693 ,,13.5
2026-06-20, , , 1003, 254, .67 ,,13.5
2026-06-21, , , 1048, 267, .708 ,,14
2026-06-22, , , 1094, 277, .728 ,,14
2026-06-23, , , 1118, 291, .771 ,,14.9 
2026-06-24, , , 1155, 304, .792 ,,16.5
2026-06-25, , , 1203, 321, .828 ,,16
2026-06-27, , , 1274, 360, .871 ,,16
2026-06-28, , , 1307, 377, , ,  16.5
2026-06-29, , , 1333, 399, .827 ,17.3
2026-06-30, , , 1406, 438, .825 ,,17.2
2026-07-01, , , 1460, 452, .827 ,,17.5
