date, suspect_cases, suspect_death, confirmed_cases, confirmed_death, percent_traced
2026-04-24, 1, 1, , ,
2026-05-15, 246, 80, , ,
2026-05-16, 336, 88, 13 , ,
2026-05-17, 390, 92, , ,
2026-05-18, 492, 113, , ,
2026-05-19, 536, 134, 33 , ,
2026-05-20, 598, 138, 51 , ,
2026-05-21, 660, 160, , ,
2026-05-22, 745, 177, , ,
2026-05-23, 867, 205, 91 , ,
2026-05-24, 906, 223, 105 , ,
2026-05-25, 998, 238, 106 , ,
2026-05-26, 1077, 246, 121, ,
2026-05-27, 906, 223, 125, ,
2026-05-28, 349, , 210, 17,
2026-05-29, 349, , 263, 42,
2026-05-30, 220, , 282, 42, .452
2026-05-31, 238, , 321, 48, .43
2026-06-01, 116, , 334, 60, .439
2026-06-02, , , 363, 62, .455
2026-06-03, , , 381, 64, .555
2026-06-04, , , 452, 82, .578
2026-06-05, , , 488, 86, .672
2026-06-06, , , 515, 91, .503
2026-06-07, , , 550, 101, .644
2026-06-08, , , 598, 115, .563
2026-06-09, , , 635, 127, .611
2026-06-10, , , 676, 136, .718
2026-06-11, , , 689, 139, .284
2026-06-13, , , 782, 181, .565
2026-06-14, , , 808, 192, .631
2026-06-15, , , 837, 196, .644
2026-06-16, , , 875, 202, .716
2026-06-17, , , 896, 232, .711
2026-06-18, , , 933, 245, .723
2026-06-19, , , 956, 247, .693
2026-06-20, , , 1003, 254, .67
2026-06-21, , , 1048, 267, .708
2026-06-22, , , 1094, 277, .728
2026-06-23, , , 1118, 291, .771
2026-06-24, , , 1155, 304, .792
2026-06-25, , , 1203, 321, .828
2026-06-27, , , 1274, 360, .871
2026-06-28, , , 1307, 377, 
2026-06-29, , , 1333, 399, .827
2026-06-30, , , 1406, 438, .825
2026-07-01, , , 1460, 452, .827
2026-07-02, , , 1502, 473, .818
2026-07-03, , , 1528, 492, .815
2026-07-04, , , 1561, 506, .816
2026-07-05, , , 1624, 521, .775
2026-07-06, , , 1708, 580, .752
2026-07-07, , , 1759, 600, .800
2026-07-08, , , 1792, 625, .786
2026-07-09, , , 1830, 648, .781
2026-07-10, , , 1873, 672, .717
2026-07-11, , , 1926, 702, .783
2026-07-12, , , 1963, 719, .815
2026-07-13, , , 2011, 754, .674
2026-07-14, , , 2073, 796, .766
2026-07-15, , , 2124, 828, .803
2026-07-16, , , 2181, 864, 
2026-07-17, , , 2267, 893, .836
2026-07-18, , , 2344, 930, .858
2026-07-19, , , 2423, 967, .811
2026-07-20, , , 2473, 999, .82
2026-07-21, , , 2536, 1033, .772
2026-07-22, , , 2905, 1269, .745
2026-07-23, , , 2973, 1309, .739
2026-07-24, , , 3075, 1354, .764
2026-07-25, , , 3200, 1405, .778
2026-07-26, , , 3262, 1437, .782
2026-07-27, , , 3360, 1487, .789
2026-07-28, , , 3442, 1521, .789
2026-07-29, , , 3532, 1563, .789
2026-07-30, , , 3605, 1587, .753
2026-07-31, , , 3674, 1621, .78
2026-08-01, , , 3748, 1657, .801
2026-08-02, , , 3802, 1707, .792
2026-08-03, , , 3874, 1751, .784
2026-08-04, , , 3973, 1801, .753
2026-08-05, , , 4053, 1850, .777
2026-08-06, , , 4120, 1887, .837
2026-08-07, , , 4209, 1916, .834
2026-08-08, , , 4294, 1960, .846
2026-08-09, , , 4381, 2011, .867
2026-08-10, , , 4449, 2061, .827
2026-08-11, , , 4566, 2128, .824
2026-08-12, , , 4665, 2184, .842
2026-08-13, , , 4727, 2214, .826
2026-08-14, , , 4843, 2272, .836
2026-08-15, , , 4945, 2325, .853
2026-08-16, , , 5021, 2378, .822
2026-08-17, , , 5105, 2420, .841
2026-08-18, , , 5208, 2476, .84
2026-08-19, , , 5290, 2516, .829
2026-08-20, , , 5375, 2557, .855
2026-08-21, , , 5458, 2606, .847
2026-08-22, , , 5514, 2642, .834
2026-08-23, , , 5584, 2680, .834
2026-08-24, , , 5656, 2715, .809
2026-08-25, , , 5713, 2744, .849
2026-08-26, , , 5794, 2786, .823
2026-08-27, , , 5863, 2824, .873
2026-08-28, , , 5945, 2862, .844
2026-08-29, , , 6041, 2911, .824
2026-08-30, , , 6100, 2950, .863
2026-08-31, , , 6186, 3007, .88
