date, province, cases, deaths
2026-08-30, Ituri, 5016, 2274
2026-08-30, Nord-Kivu, 836, 566
2026-08-30, Haut-Uele, 222, 97
2026-08-30, Bas-Uele, 4, 3
2026-08-29, Ituri, 4972, 2247
2026-08-29, Nord-Kivu, 828, 559
2026-08-29, Haut-Uele, 216, 94
2026-08-29, Bas-Uele, 3, 2
2026-08-28, Ituri, 4911, 2212
2026-08-28, Nord-Kivu, 800, 546
2026-08-28, Haut-Uele, 209, 93
2026-08-27, Ituri, 4845, 2185
2026-08-27, Nord-Kivu, 788, 538
2026-08-27, Haut-Uele, 205, 91
2026-08-27, Tshopo, 19, 8 
2026-08-26, Ituri, 4802, 2159
2026-08-26, Nord-Kivu, 775, 527
2026-08-26, Haut-Uele, 194, 90
2026-08-26, Tshopo, 17, 8 
2026-08-25, Ituri, 4750, 2133
2026-08-25, Nord-Kivu, 753, 512
2026-08-25, Haut-Uele, 189, 89
2026-08-24, Ituri, 4716, 2119
2026-08-24, Nord-Kivu, 735, 501
2026-08-24, Haut-Uele, 184, 85
2026-08-24, Bas-Uele, 3, 1
2026-08-23, Ituri, 4655, 2088
2026-08-23, Nord-Kivu, 728, 498
2026-08-23, Haut-Uele, 181, 84
2026-08-22, Ituri, 4607, 2065
2026-08-22, Nord-Kivu, 714, 490
2026-08-22, Haut-Uele, 173, 77
2026-08-21, Ituri, 4572, 2043
2026-08-21, Nord-Kivu, 698, 476
2026-08-21, Haut-Uele, 168, 77
2026-08-20, Ituri, 4510, 2009
2026-08-20, Nord-Kivu, 680, 463
2026-08-20, Haut-Uele, 165, 75
2026-08-20, Tshopo, 15, 8 
2026-08-19, Ituri, 4447, 1984
2026-08-19, Nord-Kivu, 663, 452
2026-08-19, Haut-Uele, 160, 71
2026-08-19, Tshopo, 15, 7
2026-08-18, Ituri, 4391, 1958
2026-08-18, Nord-Kivu, 645, 440
2026-08-18, Haut-Uele, 153, 69
2026-08-18, Bas-Uele, 2, 1
2026-08-17, Ituri, 4309, 1915
2026-08-17, Nord-Kivu, 633, 431
2026-08-17, Haut-Uele, 153, 65
2026-08-16, Ituri, 4257, 1878
2026-08-16, Nord-Kivu, 607, 428
2026-08-16, Haut-Uele, 139, 63
2026-08-16, Tshopo, 14, 7
2026-08-15, Ituri, 4194, 1838
2026-08-15, Nord-Kivu, 596, 417
2026-08-15, Haut-Uele, 138, 62
2026-08-15, Tshopo, 13, 6
2026-08-14, Ituri, 4105, 1791
2026-08-14, Nord-Kivu, 588, 411
2026-08-14, Haut-Uele, 135, 62
2026-08-13, Ituri, 4020, 1745
2026-08-13, Nord-Kivu, 569, 404
2026-08-13, Haut-Uele, 123, 57
2026-08-13, Tshopo, 11, 6
2026-08-12, Ituri, 3979, 1726
2026-08-12, Nord-Kivu, 553, 395
